GeneSymbol,GO_Term,GO_Name
ABCB1A,GO:0006508,proteolysis
ABCB1B,GO:0006508,proteolysis
ABCE1,GO:0006508,proteolysis
ABCG2,GO:0006508,proteolysis
ACE,GO:0006508,proteolysis
ACE2,GO:0006508,proteolysis
ACE3,GO:0006508,proteolysis
ACR,GO:0006508,proteolysis
ACTMAP,GO:0006508,proteolysis
ADAM10,GO:0006508,proteolysis
ADAM17,GO:0006508,proteolysis
ADAM19,GO:0006508,proteolysis
ADAM9,GO:0006508,proteolysis
ADAMTS2,GO:0006508,proteolysis
ADAMTS3,GO:0006508,proteolysis
ADGRV1,GO:0006508,proteolysis
AEBP1,GO:0006508,proteolysis
AFG1L,GO:0006508,proteolysis
AFG2B,GO:0006508,proteolysis
AFG3L1,GO:0006508,proteolysis
AFG3L2,GO:0006508,proteolysis
AGAP3,GO:0006508,proteolysis
AGT,GO:0006508,proteolysis
AKIRIN2,GO:0006508,proteolysis
AKT1,GO:0006508,proteolysis
AMBRA1,GO:0006508,proteolysis
AMFR,GO:0006508,proteolysis
AMN1,GO:0006508,proteolysis
ANAPC1,GO:0006508,proteolysis
ANAPC10,GO:0006508,proteolysis
ANAPC11,GO:0006508,proteolysis
ANAPC13,GO:0006508,proteolysis
ANAPC15,GO:0006508,proteolysis
ANAPC16,GO:0006508,proteolysis
ANAPC2,GO:0006508,proteolysis
ANAPC4,GO:0006508,proteolysis
ANAPC5,GO:0006508,proteolysis
ANAPC7,GO:0006508,proteolysis
ANKIB1,GO:0006508,proteolysis
ANKRD11,GO:0006508,proteolysis
ANKRD9,GO:0006508,proteolysis
ANKZF1,GO:0006508,proteolysis
ANPEP,GO:0006508,proteolysis
APC,GO:0006508,proteolysis
APC2,GO:0006508,proteolysis
APH1A,GO:0006508,proteolysis
APH1B,GO:0006508,proteolysis
APH1C,GO:0006508,proteolysis
APOH,GO:0006508,proteolysis
APPBP2,GO:0006508,proteolysis
AREL1,GO:0006508,proteolysis
ARIH1,GO:0006508,proteolysis
ARIH2,GO:0006508,proteolysis
ARK2N,GO:0006508,proteolysis
ARMC5,GO:0006508,proteolysis
ARMC8,GO:0006508,proteolysis
ARRB1,GO:0006508,proteolysis
ARRB2,GO:0006508,proteolysis
ARRDC1,GO:0006508,proteolysis
ARRDC4,GO:0006508,proteolysis
ASB1,GO:0006508,proteolysis
ASB11,GO:0006508,proteolysis
ASB2,GO:0006508,proteolysis
ASB7,GO:0006508,proteolysis
ASB9,GO:0006508,proteolysis
ASCC2,GO:0006508,proteolysis
ASCC3,GO:0006508,proteolysis
ASPRV1,GO:0006508,proteolysis
ATE1,GO:0006508,proteolysis
ATG4A,GO:0006508,proteolysis
ATG4A-PS,GO:0006508,proteolysis
ATG4B,GO:0006508,proteolysis
ATG4C,GO:0006508,proteolysis
ATG4D,GO:0006508,proteolysis
ATM,GO:0006508,proteolysis
ATP23,GO:0006508,proteolysis
ATP6AP2,GO:0006508,proteolysis
ATXN3,GO:0006508,proteolysis
AUP1,GO:0006508,proteolysis
AXIN1,GO:0006508,proteolysis
AXIN2,GO:0006508,proteolysis
BACE1,GO:0006508,proteolysis
BACE2,GO:0006508,proteolysis
BAG6,GO:0006508,proteolysis
BAP1,GO:0006508,proteolysis
BC051665,GO:0006508,proteolysis
BFAR,GO:0006508,proteolysis
BIRC2,GO:0006508,proteolysis
BMAL1,GO:0006508,proteolysis
BMP1,GO:0006508,proteolysis
BRINP1,GO:0006508,proteolysis
BRSK2,GO:0006508,proteolysis
BTRC,GO:0006508,proteolysis
C1RA,GO:0006508,proteolysis
C1RB,GO:0006508,proteolysis
C1RL,GO:0006508,proteolysis
C1S1,GO:0006508,proteolysis
C1S2,GO:0006508,proteolysis
C2CD3,GO:0006508,proteolysis
CA10,GO:0006508,proteolysis
CACUL1,GO:0006508,proteolysis
CALR,GO:0006508,proteolysis
CALR3,GO:0006508,proteolysis
CALR4,GO:0006508,proteolysis
CANX,GO:0006508,proteolysis
CAPN1,GO:0006508,proteolysis
CAPN2,GO:0006508,proteolysis
CAPN3,GO:0006508,proteolysis
CAPN7,GO:0006508,proteolysis
CAPN8,GO:0006508,proteolysis
CASP1,GO:0006508,proteolysis
CASP12,GO:0006508,proteolysis
CASP2,GO:0006508,proteolysis
CASP3,GO:0006508,proteolysis
CASP4,GO:0006508,proteolysis
CASP6,GO:0006508,proteolysis
CASP7,GO:0006508,proteolysis
CASP8,GO:0006508,proteolysis
CASP9,GO:0006508,proteolysis
CBL,GO:0006508,proteolysis
CBLC,GO:0006508,proteolysis
CCDC47,GO:0006508,proteolysis
CCIN,GO:0006508,proteolysis
CCNF,GO:0006508,proteolysis
CD2AP,GO:0006508,proteolysis
CDC16,GO:0006508,proteolysis
CDC20,GO:0006508,proteolysis
CDC20B,GO:0006508,proteolysis
CDC23,GO:0006508,proteolysis
CDC26,GO:0006508,proteolysis
CDC27,GO:0006508,proteolysis
CDC34,GO:0006508,proteolysis
CDC34B,GO:0006508,proteolysis
CDK7,GO:0006508,proteolysis
CEP63,GO:0006508,proteolysis
CFD,GO:0006508,proteolysis
CFI,GO:0006508,proteolysis
CHFR,GO:0006508,proteolysis
CHMP1A,GO:0006508,proteolysis
CHMP1B1,GO:0006508,proteolysis
CHMP2A,GO:0006508,proteolysis
CHMP2B,GO:0006508,proteolysis
CHMP3,GO:0006508,proteolysis
CHMP4C,GO:0006508,proteolysis
CHMP5,GO:0006508,proteolysis
CHMP6,GO:0006508,proteolysis
CHMP7,GO:0006508,proteolysis
CHST8,GO:0006508,proteolysis
CLGN,GO:0006508,proteolysis
CLN3,GO:0006508,proteolysis
CLOCK,GO:0006508,proteolysis
CLPP,GO:0006508,proteolysis
CMA1,GO:0006508,proteolysis
CNOT4,GO:0006508,proteolysis
COMP,GO:0006508,proteolysis
COP1,GO:0006508,proteolysis
COPS3,GO:0006508,proteolysis
CORIN,GO:0006508,proteolysis
CPA3,GO:0006508,proteolysis
CPD,GO:0006508,proteolysis
CPE,GO:0006508,proteolysis
CPLANE2,GO:0006508,proteolysis
CPM,GO:0006508,proteolysis
CPN1,GO:0006508,proteolysis
CPZ,GO:0006508,proteolysis
CRBC_MOUSE,GO:0006508,proteolysis
CRBN,GO:0006508,proteolysis
CSNK1A1,GO:0006508,proteolysis
CSTL1,GO:0006508,proteolysis
CTNNB1,GO:0006508,proteolysis
CTS3,GO:0006508,proteolysis
CTS8,GO:0006508,proteolysis
CTSE,GO:0006508,proteolysis
CTSG,GO:0006508,proteolysis
CTSH,GO:0006508,proteolysis
CTSJ,GO:0006508,proteolysis
CTSL,GO:0006508,proteolysis
CTSM,GO:0006508,proteolysis
CTSS,GO:0006508,proteolysis
CUEDC2,GO:0006508,proteolysis
CUL1,GO:0006508,proteolysis
CUL2,GO:0006508,proteolysis
CUL3,GO:0006508,proteolysis
CUL4A,GO:0006508,proteolysis
CUL4B,GO:0006508,proteolysis
CUL5,GO:0006508,proteolysis
CUL7,GO:0006508,proteolysis
CUL9,GO:0006508,proteolysis
CUZD1,GO:0006508,proteolysis
CWH43,GO:0006508,proteolysis
DAG1,GO:0006508,proteolysis
DCAF1,GO:0006508,proteolysis
DCAF11,GO:0006508,proteolysis
DCAF12,GO:0006508,proteolysis
DCAF13,GO:0006508,proteolysis
DCST1,GO:0006508,proteolysis
DDB1,GO:0006508,proteolysis
DDI1,GO:0006508,proteolysis
DDI2,GO:0006508,proteolysis
DDIT3,GO:0006508,proteolysis
DERL1,GO:0006508,proteolysis
DERL2,GO:0006508,proteolysis
DERL3,GO:0006508,proteolysis
DESTRUCTION_MOUSE-1,GO:0006508,proteolysis
DESTRUCTION_MOUSE-3,GO:0006508,proteolysis
DESTRUCTION_MOUSE-4,GO:0006508,proteolysis
DESTRUCTION_MOUSE-5,GO:0006508,proteolysis
DESTRUCTION_MOUSE-6,GO:0006508,proteolysis
DESTRUCTION_MOUSE-7,GO:0006508,proteolysis
DESTRUCTION_MOUSE-8,GO:0006508,proteolysis
DHCR24,GO:0006508,proteolysis
DHH,GO:0006508,proteolysis
DISP1,GO:0006508,proteolysis
DMAC2,GO:0006508,proteolysis
DNAJB12,GO:0006508,proteolysis
DNAJB2,GO:0006508,proteolysis
DNAJB9,GO:0006508,proteolysis
DNAJC10,GO:0006508,proteolysis
DRC2,GO:0006508,proteolysis
DTL,GO:0006508,proteolysis
DTX3L,GO:0006508,proteolysis
DTX4,GO:0006508,proteolysis
DYNC2H1,GO:0006508,proteolysis
ECE1,GO:0006508,proteolysis
ECE2,GO:0006508,proteolysis
ECEL1,GO:0006508,proteolysis
ECPAS,GO:0006508,proteolysis
ECRG4,GO:0006508,proteolysis
EDEM1,GO:0006508,proteolysis
EDEM2,GO:0006508,proteolysis
EDEM3,GO:0006508,proteolysis
EEF1AKMT4-ECE2,GO:0006508,proteolysis
EGFBP2,GO:0006508,proteolysis
EIF2AK3,GO:0006508,proteolysis
ELOB,GO:0006508,proteolysis
ELOBL,GO:0006508,proteolysis
ELOC,GO:0006508,proteolysis
ENC1,GO:0006508,proteolysis
ENPEP,GO:0006508,proteolysis
EPG5,GO:0006508,proteolysis
EPM2A,GO:0006508,proteolysis
EPO,GO:0006508,proteolysis
EPOR,GO:0006508,proteolysis
ERAP1,GO:0006508,proteolysis
ERCC8,GO:0006508,proteolysis
ERLEC1,GO:0006508,proteolysis
ERLIN1,GO:0006508,proteolysis
ERLIN2,GO:0006508,proteolysis
ERO1B,GO:0006508,proteolysis
F10,GO:0006508,proteolysis
F11,GO:0006508,proteolysis
F12,GO:0006508,proteolysis
F2,GO:0006508,proteolysis
F3,GO:0006508,proteolysis
F5,GO:0006508,proteolysis
F7,GO:0006508,proteolysis
F9,GO:0006508,proteolysis
FAF1,GO:0006508,proteolysis
FAF2,GO:0006508,proteolysis
FAM111A,GO:0006508,proteolysis
FAU,GO:0006508,proteolysis
FBXL12,GO:0006508,proteolysis
FBXL13,GO:0006508,proteolysis
FBXL14,GO:0006508,proteolysis
FBXL15,GO:0006508,proteolysis
FBXL16,GO:0006508,proteolysis
FBXL17,GO:0006508,proteolysis
FBXL18,GO:0006508,proteolysis
FBXL19,GO:0006508,proteolysis
FBXL2,GO:0006508,proteolysis
FBXL20,GO:0006508,proteolysis
FBXL21,GO:0006508,proteolysis
FBXL22,GO:0006508,proteolysis
FBXL3,GO:0006508,proteolysis
FBXL4,GO:0006508,proteolysis
FBXL5,GO:0006508,proteolysis
FBXL6,GO:0006508,proteolysis
FBXL7,GO:0006508,proteolysis
FBXL8,GO:0006508,proteolysis
FBXL9,GO:0006508,proteolysis
FBXO10,GO:0006508,proteolysis
FBXO11,GO:0006508,proteolysis
FBXO17,GO:0006508,proteolysis
FBXO2,GO:0006508,proteolysis
FBXO24,GO:0006508,proteolysis
FBXO27,GO:0006508,proteolysis
FBXO28,GO:0006508,proteolysis
FBXO3,GO:0006508,proteolysis
FBXO31,GO:0006508,proteolysis
FBXO38,GO:0006508,proteolysis
FBXO39,GO:0006508,proteolysis
FBXO4,GO:0006508,proteolysis
FBXO44,GO:0006508,proteolysis
FBXO45,GO:0006508,proteolysis
FBXO46,GO:0006508,proteolysis
FBXO48,GO:0006508,proteolysis
FBXO6,GO:0006508,proteolysis
FBXO7,GO:0006508,proteolysis
FBXO8,GO:0006508,proteolysis
FBXO9,GO:0006508,proteolysis
FBXW11,GO:0006508,proteolysis
FBXW4,GO:0006508,proteolysis
FBXW5,GO:0006508,proteolysis
FBXW7,GO:0006508,proteolysis
FBXW8,GO:0006508,proteolysis
FEM1AA,GO:0006508,proteolysis
FEM1AL,GO:0006508,proteolysis
FEM1B,GO:0006508,proteolysis
FEM1C,GO:0006508,proteolysis
FGA,GO:0006508,proteolysis
FGB,GO:0006508,proteolysis
FGG,GO:0006508,proteolysis
FILIP1L,GO:0006508,proteolysis
FKRP,GO:0006508,proteolysis
FLCN,GO:0006508,proteolysis
FNIP1,GO:0006508,proteolysis
FOXO4,GO:0006508,proteolysis
FOXRED2,GO:0006508,proteolysis
FURIN,GO:0006508,proteolysis
FXN,GO:0006508,proteolysis
FZR1,GO:0006508,proteolysis
GAMMA-SECRETASE_ALPHA1A-PSEN2_MOUSE,GO:0006508,proteolysis
GAMMA-SECRETASE_ALPHA1B-PSEN1_MOUSE,GO:0006508,proteolysis
GAMMA-SECRETASE_ALPHA1B-PSEN2_MOUSE,GO:0006508,proteolysis
GAN,GO:0006508,proteolysis
GBA1,GO:0006508,proteolysis
GCN1,GO:0006508,proteolysis
GET4,GO:0006508,proteolysis
GGT1,GO:0006508,proteolysis
GHR,GO:0006508,proteolysis
GID4,GO:0006508,proteolysis
GID8,GO:0006508,proteolysis
GLI3,GO:0006508,proteolysis
GM13043,GO:0006508,proteolysis
GM7324,GO:0006508,proteolysis
GM9125,GO:0006508,proteolysis
GSK3A,GO:0006508,proteolysis
GSK3B,GO:0006508,proteolysis
GZMK,GO:0006508,proteolysis
H2BC1,GO:0006508,proteolysis
HACE1,GO:0006508,proteolysis
HDAC6,GO:0006508,proteolysis
HECTD1,GO:0006508,proteolysis
HECTD3,GO:0006508,proteolysis
HECW1,GO:0006508,proteolysis
HECW2,GO:0006508,proteolysis
HERC1,GO:0006508,proteolysis
HERC2,GO:0006508,proteolysis
HERC3,GO:0006508,proteolysis
HERC4,GO:0006508,proteolysis
HERC6,GO:0006508,proteolysis
HERPUD1,GO:0006508,proteolysis
HGFAC,GO:0006508,proteolysis
HID1,GO:0006508,proteolysis
HJV,GO:0006508,proteolysis
HM13,GO:0006508,proteolysis
HP,GO:0006508,proteolysis
HPN,GO:0006508,proteolysis
HSP90B1,GO:0006508,proteolysis
HSPA5,GO:0006508,proteolysis
HUWE1,GO:0006508,proteolysis
IFT172,GO:0006508,proteolysis
IFT80,GO:0006508,proteolysis
IGF2BP2,GO:0006508,proteolysis
IHH,GO:0006508,proteolysis
INS2,GO:0006508,proteolysis
IPO9,GO:0006508,proteolysis
IPP,GO:0006508,proteolysis
IRGQ,GO:0006508,proteolysis
ISG15,GO:0006508,proteolysis
ITCH,GO:0006508,proteolysis
IVNS1ABP,GO:0006508,proteolysis
JAK2,GO:0006508,proteolysis
JKAMP,GO:0006508,proteolysis
KAT2B,GO:0006508,proteolysis
KAT5,GO:0006508,proteolysis
KBTBD12,GO:0006508,proteolysis
KBTBD2,GO:0006508,proteolysis
KBTBD3,GO:0006508,proteolysis
KBTBD6,GO:0006508,proteolysis
KBTBD7,GO:0006508,proteolysis
KBTBD8,GO:0006508,proteolysis
KCMF1,GO:0006508,proteolysis
KCTD10,GO:0006508,proteolysis
KCTD13,GO:0006508,proteolysis
KCTD17,GO:0006508,proteolysis
KCTD2,GO:0006508,proteolysis
KCTD21,GO:0006508,proteolysis
KCTD5,GO:0006508,proteolysis
KCTD6,GO:0006508,proteolysis
KEAP1,GO:0006508,proteolysis
KEL,GO:0006508,proteolysis
KIF12,GO:0006508,proteolysis
KIF14,GO:0006508,proteolysis
KLF1,GO:0006508,proteolysis
KLHDC1,GO:0006508,proteolysis
KLHDC10,GO:0006508,proteolysis
KLHDC2,GO:0006508,proteolysis
KLHDC3,GO:0006508,proteolysis
KLHL1,GO:0006508,proteolysis
KLHL10,GO:0006508,proteolysis
KLHL11,GO:0006508,proteolysis
KLHL12,GO:0006508,proteolysis
KLHL13,GO:0006508,proteolysis
KLHL15,GO:0006508,proteolysis
KLHL17,GO:0006508,proteolysis
KLHL18,GO:0006508,proteolysis
KLHL2,GO:0006508,proteolysis
KLHL20,GO:0006508,proteolysis
KLHL21,GO:0006508,proteolysis
KLHL22,GO:0006508,proteolysis
KLHL23,GO:0006508,proteolysis
KLHL24,GO:0006508,proteolysis
KLHL25,GO:0006508,proteolysis
KLHL26,GO:0006508,proteolysis
KLHL28,GO:0006508,proteolysis
KLHL29,GO:0006508,proteolysis
KLHL3,GO:0006508,proteolysis
KLHL30,GO:0006508,proteolysis
KLHL32,GO:0006508,proteolysis
KLHL35,GO:0006508,proteolysis
KLHL36,GO:0006508,proteolysis
KLHL38,GO:0006508,proteolysis
KLHL4,GO:0006508,proteolysis
KLHL40,GO:0006508,proteolysis
KLHL41,GO:0006508,proteolysis
KLHL42,GO:0006508,proteolysis
KLHL5,GO:0006508,proteolysis
KLHL6,GO:0006508,proteolysis
KLHL7,GO:0006508,proteolysis
KLHL8,GO:0006508,proteolysis
KLHL9,GO:0006508,proteolysis
KLK1,GO:0006508,proteolysis
KLK13,GO:0006508,proteolysis
KLK1B1,GO:0006508,proteolysis
KLK1B11,GO:0006508,proteolysis
KLK1B16,GO:0006508,proteolysis
KLK1B21,GO:0006508,proteolysis
KLK1B22,GO:0006508,proteolysis
KLK1B24,GO:0006508,proteolysis
KLK1B26,GO:0006508,proteolysis
KLK1B27,GO:0006508,proteolysis
KLK1B3,GO:0006508,proteolysis
KLK1B4,GO:0006508,proteolysis
KLK1B5,GO:0006508,proteolysis
KLK1B8,GO:0006508,proteolysis
KLK1B9,GO:0006508,proteolysis
KLKB1,GO:0006508,proteolysis
LGMN,GO:0006508,proteolysis
LNX1,GO:0006508,proteolysis
LONP1,GO:0006508,proteolysis
LONP2,GO:0006508,proteolysis
LONRF2,GO:0006508,proteolysis
LRRC58,GO:0006508,proteolysis
LRRC75A,GO:0006508,proteolysis
LTN1,GO:0006508,proteolysis
LVRN,GO:0006508,proteolysis
LZTR1,GO:0006508,proteolysis
MAEA,GO:0006508,proteolysis
MAFB,GO:0006508,proteolysis
MAN1A,GO:0006508,proteolysis
MAN1A1,GO:0006508,proteolysis
MAN1A2,GO:0006508,proteolysis
MAN1B1,GO:0006508,proteolysis
MAN1C1,GO:0006508,proteolysis
MAP3K1,GO:0006508,proteolysis
MAP3K7,GO:0006508,proteolysis
MAPKAP1,GO:0006508,proteolysis
MARCHF6,GO:0006508,proteolysis
MARCHF8,GO:0006508,proteolysis
MASP1,GO:0006508,proteolysis
MASP2,GO:0006508,proteolysis
MBL2,GO:0006508,proteolysis
MBTPS1,GO:0006508,proteolysis
MBTPS2,GO:0006508,proteolysis
MDM2,GO:0006508,proteolysis
MEP1A,GO:0006508,proteolysis
METAP2,GO:0006508,proteolysis
MIB1,GO:0006508,proteolysis
MIDN,GO:0006508,proteolysis
MKIAA0617,GO:0006508,proteolysis
MKIAA0684,GO:0006508,proteolysis
MKRN2,GO:0006508,proteolysis
MME,GO:0006508,proteolysis
MMEL1,GO:0006508,proteolysis
MMP14,GO:0006508,proteolysis
MMP16,GO:0006508,proteolysis
MMP7,GO:0006508,proteolysis
MTA1,GO:0006508,proteolysis
MTOR,GO:0006508,proteolysis
MUS MUSCULUS SMALL NUCLEOLAR RNA HOST GENE 15 (SNHG15),GO:0006508,proteolysis
MYC,GO:0006508,proteolysis
MYH9,GO:0006508,proteolysis
MYLIP,GO:0006508,proteolysis
MYRF,GO:0006508,proteolysis
MYRFL,GO:0006508,proteolysis
NAA30,GO:0006508,proteolysis
NAGLU,GO:0006508,proteolysis
NAPSA,GO:0006508,proteolysis
NCCRP1,GO:0006508,proteolysis
NCOA3,GO:0006508,proteolysis
NCSTN,GO:0006508,proteolysis
NDFIP1,GO:0006508,proteolysis
NDFIP2,GO:0006508,proteolysis
NEDD4,GO:0006508,proteolysis
NEDD4L,GO:0006508,proteolysis
NEDD8,GO:0006508,proteolysis
NEMF,GO:0006508,proteolysis
