gene_symbol,level,category,n_genes
Acad9,level_0,OXPHOS,168
Aifm1,level_0,OXPHOS,168
Atp5a1,level_0,OXPHOS,168
Atp5b,level_0,OXPHOS,168
Atp5c1,level_0,OXPHOS,168
Atp5d,level_0,OXPHOS,168
Atp5e,level_0,OXPHOS,168
Atp5g1,level_0,OXPHOS,168
Atp5g2,level_0,OXPHOS,168
Atp5g3,level_0,OXPHOS,168
Atp5h,level_0,OXPHOS,168
Atp5j,level_0,OXPHOS,168
Atp5j2,level_0,OXPHOS,168
Atp5k,level_0,OXPHOS,168
Atp5l,level_0,OXPHOS,168
Atp5md,level_0,OXPHOS,168
Atp5mpl,level_0,OXPHOS,168
Atp5o,level_0,OXPHOS,168
Atp5pb,level_0,OXPHOS,168
Atpaf1,level_0,OXPHOS,168
Atpaf2,level_0,OXPHOS,168
Atpif1,level_0,OXPHOS,168
Atpsckmt,level_0,OXPHOS,168
Bcs1l,level_0,OXPHOS,168
Cep89,level_0,OXPHOS,168
Cmc1,level_0,OXPHOS,168
Cmc2,level_0,OXPHOS,168
Coa3,level_0,OXPHOS,168
Coa4,level_0,OXPHOS,168
Coa5,level_0,OXPHOS,168
Coa6,level_0,OXPHOS,168
Coa7,level_0,OXPHOS,168
Coa8,level_0,OXPHOS,168
Cox10,level_0,OXPHOS,168
Cox11,level_0,OXPHOS,168
Cox14,level_0,OXPHOS,168
Cox15,level_0,OXPHOS,168
Cox16,level_0,OXPHOS,168
Cox17,level_0,OXPHOS,168
Cox18,level_0,OXPHOS,168
Cox19,level_0,OXPHOS,168
Cox20,level_0,OXPHOS,168
Cox4i1,level_0,OXPHOS,168
Cox4i2,level_0,OXPHOS,168
Cox5a,level_0,OXPHOS,168
Cox5b,level_0,OXPHOS,168
Cox6a1,level_0,OXPHOS,168
Cox6a2,level_0,OXPHOS,168
Cox6b1,level_0,OXPHOS,168
Cox6b2,level_0,OXPHOS,168
Cox6c,level_0,OXPHOS,168
Cox7a1,level_0,OXPHOS,168
Cox7a2,level_0,OXPHOS,168
Cox7a2l,level_0,OXPHOS,168
Cox7b,level_0,OXPHOS,168
Cox7c,level_0,OXPHOS,168
Cox8a,level_0,OXPHOS,168
Cox8b,level_0,OXPHOS,168
Cox8c,level_0,OXPHOS,168
Cyc1,level_0,OXPHOS,168
Cycs,level_0,OXPHOS,168
Cyct,level_0,OXPHOS,168
Dmac1,level_0,OXPHOS,168
Dmac2,level_0,OXPHOS,168
Dmac2l,level_0,OXPHOS,168
Ecsit,level_0,OXPHOS,168
Fmc1,level_0,OXPHOS,168
Foxred1,level_0,OXPHOS,168
Hccs,level_0,OXPHOS,168
Higd1a,level_0,OXPHOS,168
Higd2a,level_0,OXPHOS,168
Lyrm2,level_0,OXPHOS,168
Lyrm7,level_0,OXPHOS,168
Ndufa1,level_0,OXPHOS,168
Ndufa10,level_0,OXPHOS,168
Ndufa11,level_0,OXPHOS,168
Ndufa12,level_0,OXPHOS,168
Ndufa13,level_0,OXPHOS,168
Ndufa2,level_0,OXPHOS,168
Ndufa3,level_0,OXPHOS,168
Ndufa4,level_0,OXPHOS,168
Ndufa5,level_0,OXPHOS,168
Ndufa6,level_0,OXPHOS,168
Ndufa7,level_0,OXPHOS,168
Ndufa8,level_0,OXPHOS,168
Ndufa9,level_0,OXPHOS,168
Ndufab1,level_0,OXPHOS,168
Ndufaf1,level_0,OXPHOS,168
Ndufaf2,level_0,OXPHOS,168
Ndufaf3,level_0,OXPHOS,168
Ndufaf4,level_0,OXPHOS,168
Ndufaf5,level_0,OXPHOS,168
Ndufaf6,level_0,OXPHOS,168
Ndufaf7,level_0,OXPHOS,168
Ndufaf8,level_0,OXPHOS,168
Ndufb10,level_0,OXPHOS,168
Ndufb11,level_0,OXPHOS,168
Ndufb2,level_0,OXPHOS,168
Ndufb3,level_0,OXPHOS,168
Ndufb4,level_0,OXPHOS,168
Ndufb5,level_0,OXPHOS,168
Ndufb6,level_0,OXPHOS,168
Ndufb7,level_0,OXPHOS,168
Ndufb8,level_0,OXPHOS,168
Ndufb9,level_0,OXPHOS,168
Ndufc1,level_0,OXPHOS,168
Ndufc2,level_0,OXPHOS,168
Ndufs1,level_0,OXPHOS,168
Ndufs2,level_0,OXPHOS,168
Ndufs3,level_0,OXPHOS,168
Ndufs4,level_0,OXPHOS,168
Ndufs5,level_0,OXPHOS,168
Ndufs6,level_0,OXPHOS,168
Ndufs7,level_0,OXPHOS,168
Ndufs8,level_0,OXPHOS,168
Ndufv1,level_0,OXPHOS,168
Ndufv2,level_0,OXPHOS,168
Ndufv3,level_0,OXPHOS,168
Nubpl,level_0,OXPHOS,168
Pet100,level_0,OXPHOS,168
Pet117,level_0,OXPHOS,168
Pnkd,level_0,OXPHOS,168
Rab5if,level_0,OXPHOS,168
Sco1,level_0,OXPHOS,168
Sco2,level_0,OXPHOS,168
Sdha,level_0,OXPHOS,168
Sdhaf1,level_0,OXPHOS,168
Sdhaf2,level_0,OXPHOS,168
Sdhaf3,level_0,OXPHOS,168
Sdhaf4,level_0,OXPHOS,168
Sdhb,level_0,OXPHOS,168
Sdhc,level_0,OXPHOS,168
Sdhd,level_0,OXPHOS,168
Smim20,level_0,OXPHOS,168
Surf1,level_0,OXPHOS,168
Taco1,level_0,OXPHOS,168
Timm21,level_0,OXPHOS,168
Timmdc1,level_0,OXPHOS,168
Tmem126a,level_0,OXPHOS,168
Tmem126b,level_0,OXPHOS,168
Tmem177,level_0,OXPHOS,168
Tmem186,level_0,OXPHOS,168
Tmem70,level_0,OXPHOS,168
Ttc19,level_0,OXPHOS,168
Uqcc1,level_0,OXPHOS,168
Uqcc2,level_0,OXPHOS,168
Uqcc3,level_0,OXPHOS,168
Uqcr10,level_0,OXPHOS,168
Uqcr11,level_0,OXPHOS,168
Uqcrb,level_0,OXPHOS,168
Uqcrc1,level_0,OXPHOS,168
Uqcrc2,level_0,OXPHOS,168
Uqcrfs1,level_0,OXPHOS,168
Uqcrh,level_0,OXPHOS,168
Uqcrq,level_0,OXPHOS,168
mt-Atp6,level_0,OXPHOS,168
mt-Atp8,level_0,OXPHOS,168
mt-Co1,level_0,OXPHOS,168
mt-Co2,level_0,OXPHOS,168
mt-Co3,level_0,OXPHOS,168
mt-Cytb,level_0,OXPHOS,168
mt-Nd1,level_0,OXPHOS,168
mt-Nd2,level_0,OXPHOS,168
mt-Nd3,level_0,OXPHOS,168
mt-Nd4,level_0,OXPHOS,168
mt-Nd4l,level_0,OXPHOS,168
mt-Nd5,level_0,OXPHOS,168
mt-Nd6,level_0,OXPHOS,168
